file,line,category,original,suggested
"admin/src/views/permission/dicts/index.vue",86,UNMAPPED,"nameHeader: `${item.dict_name}名称`,","nameHeader: `${item.dict_name}名称`,"
"admin/src/views/permission/dicts/index.vue",253,TMPL_LITERAL,"`确定要禁用「${record.dictLabel}」吗？`","/* TODO: t() with named interpolation */"
"admin/src/views/permission/dicts/index.vue",253,UNMAPPED,"content: `确定要禁用「${record.dictLabel}」吗？`,","content: `确定要禁用「${record.dictLabel}」吗？`,"
"admin/src/views/permission/menu/components/MenuFormModal.vue",17,UNMAPPED,"const parentDirOptions = ref<MenuListItem[]>([])   // 目录列表，供菜单 C 选择上级","const parentDirOptions = ref<MenuListItem[]>([])   // 目录列表，供菜单 C 选择上级"
"admin/src/views/permission/menu/components/MenuFormModal.vue",18,UNMAPPED,"const parentMenuOptions = ref<MenuListItem[]>([])  // 菜单列表，供按钮 F 选择上级","const parentMenuOptions = ref<MenuListItem[]>([])  // 菜单列表，供按钮 F 选择上级"
"admin/src/views/permission/menu/index.vue",35,UNMAPPED,"if (menuType === 'M') return '目录 M'","if (menuType === 'M') return '目录 M'"
"admin/src/views/permission/menu/index.vue",36,UNMAPPED,"if (menuType === 'F') return '按钮 F'","if (menuType === 'F') return '按钮 F'"
"admin/src/views/permission/menu/index.vue",37,UNMAPPED,"return '菜单 C'","return '菜单 C'"
"admin/src/views/permission/roles/components/RoleModal.vue",145,UNMAPPED,"const actionLabel = editMode ? '保存' : t('add')","const actionLabel = editMode ? '保存' : t('add')"
"admin/src/views/permission/roles/components/RoleModal.vue",149,TMPL_LITERAL,"`角色""${normalizedRoleName}""已存在，请换一个角色名称后重试`","/* TODO: t() with named interpolation */"
"admin/src/views/permission/roles/components/RoleModal.vue",149,UNMAPPED,"return `角色""${normalizedRoleName}""已存在，请换一个角色名称后重试`","return `角色""${normalizedRoleName}""已存在，请换一个角色名称后重试`"
"admin/src/views/permission/roles/components/RoleModal.vue",153,TMPL_LITERAL,"`角色""${normalizedRoleName}""的权限标识已存在，请修改角色名称后重试`","/* TODO: t() with named interpolation */"
"admin/src/views/permission/roles/components/RoleModal.vue",153,UNMAPPED,"return `角色""${normalizedRoleName}""的权限标识已存在，请修改角色名称后重试`","return `角色""${normalizedRoleName}""的权限标识已存在，请修改角色名称后重试`"
"admin/src/views/permission/roles/components/RoleModal.vue",157,TMPL_LITERAL,"`${actionLabel}角色""${normalizedRoleName}""失败：${messageText}`","/* TODO: t() with named interpolation */"
"admin/src/views/permission/roles/components/RoleModal.vue",157,UNMAPPED,"return `${actionLabel}角色""${normalizedRoleName}""失败：${messageText}`","return `${actionLabel}角色""${normalizedRoleName}""失败：${messageText}`"
"admin/src/views/permission/roles/components/RoleModal.vue",160,TMPL_LITERAL,"`${actionLabel}角色失败，请稍后重试`","/* TODO: t() with named interpolation */"
"admin/src/views/permission/roles/components/RoleModal.vue",160,UNMAPPED,"return `${actionLabel}角色失败，请稍后重试`","return `${actionLabel}角色失败，请稍后重试`"
"admin/src/views/permission/roles/index.vue",163,UNMAPPED,"content: '确定要删除该角色吗？删除后不可恢复。',","content: '确定要删除该角色吗？删除后不可恢复。',"
"admin/src/views/permission/users/index.vue",176,UNMAPPED,"content: '确定要禁用该用户吗？禁用后该用户将无法登录系统。',","content: '确定要禁用该用户吗？禁用后该用户将无法登录系统。',"
